orszagok,ev,fr_ferfi,fr_no,koktatas_ferfi,gyerekek_szama,onfoglal_ferfi,havi_jovedelem,gdp,exp,koktatas_no,onfoglal_no,sza
Ausztria,2012,79.30,69.60,87.70,1.70,280.10,4098.60,46457.35,171988.80,78.20,152.40,14.40
Ausztria,2013,79.10,70.00,87.40,1.70,283.40,4329.00,47922.05,173101.80,78.60,158.10,14.40
Ausztria,2014,78.30,70.10,88.00,1.70,282.00,4428.40,48799.72,177855.30,79.80,157.00,14.10
Ausztria,2015,78.40,70.20,88.70,1.70,285.10,3782.60,49865.90,182769.30,80.70,161.00,13.90
Ausztria,2016,78.70,70.90,88.20,1.70,288.90,3862.90,52684.02,187409.40,80.80,158.20,14.10
Ausztria,2017,79.40,71.40,88.30,1.70,285.40,4003.60,54172.99,199644.40,81.70,156.40,14.40
Ausztria,2018,80.70,71.70,88.70,1.70,281.70,4294.20,56960.09,213681.60,81.90,156.40,14.30
Ausztria,2019,81.20,72.40,88.40,1.70,292.60,4176.20,58076.35,220393.10,82.70,162.20,13.30
Ausztria,2020,79.00,70.60,88.20,1.70,283.70,4253.50,55683.84,195103.60,83.10,157.90,13.90
Belgium,2012,72.70,61.70,70.70,1.80,400.10,4488.80,42290.76,310501.80,72.60,182.40,15.30
Belgium,2013,72.30,62.10,71.70,1.80,429.60,4735.00,43671.12,311649.50,73.80,185.30,15.10
Belgium,2014,71.60,62.90,72.40,1.80,402.40,4793.00,44929.69,321600.70,74.70,191.10,15.50
Belgium,2015,71.30,63.00,73.60,1.80,420.30,4013.40,46200.90,324215.70,75.80,198.70,14.90
Belgium,2016,72.30,63.00,74.30,1.80,420.20,4071.10,48597.40,341615.10,75.90,192.90,15.50
Belgium,2017,73.40,63.60,75.90,1.80,400.70,4197.90,50442.27,370203.40,77.70,196.70,15.90
Belgium,2018,73.90,65.50,77.40,1.80,392.50,4509.30,52528.12,381989.40,79.10,200.70,16.40
Belgium,2019,74.50,66.50,77.20,1.80,406.80,4379.60,54269.51,392988.70,80.20,206.40,14.80
Belgium,2020,73.70,65.60,78.30,1.80,422.90,4352.70,53034.96,365577.20,81.30,209.50,14.10
Bulgária,2012,65.00,59.80,81.00,1.40,200.20,483.50,16327.87,25503.60,81.00,103.10,21.20
Bulgária,2013,65.60,60.20,81.60,1.40,214.80,526.00,16647.01,27156.70,82.00,109.20,21.00
Bulgária,2014,67.30,61.50,80.40,1.50,224.30,554.30,17616.91,27795.20,81.80,111.60,21.80
Bulgária,2015,69.60,63.30,81.20,1.50,221.70,497.80,18391.93,29228.30,82.50,107.80,22.00
Bulgária,2016,70.40,63.60,81.70,1.50,211.00,536.30,20074.38,31151.60,82.80,108.20,22.90
