orszagok,ev,fr_ferfi,fr_no,koktatas_ferfi,gyerekek_szama,onfoglal_ferfi,havi_jovedelem,gdp,exp,koktatas_no,onfoglal_no,sza
Ausztria,2012,79.3,69.6,87.7,1.7,280.1,4098.6,46457.3457770311,171988.8,78.2,152.4,14.4
Ausztria,2013,79.1,70,87.4,1.7,283.4,4329,47922.0491207455,173101.8,78.6,158.1,14.4
Ausztria,2014,78.3,70.1,88,1.7,282,4428.4,48799.7154676985,177855.3,79.8,157,14.1
Ausztria,2015,78.4,70.2,88.7,1.7,285.1,3782.6,49865.9039424185,182769.3,80.7,161,13.9
Ausztria,2016,78.7,70.9,88.2,1.7,288.9,3862.9,52684.0171130768,187409.4,80.8,158.2,14.1
Ausztria,2017,79.4,71.4,88.3,1.7,285.4,4003.6,54172.9867888254,199644.4,81.7,156.4,14.4
Ausztria,2018,80.7,71.7,88.7,1.7,281.7,4294.2,56960.0914258929,213681.6,81.9,156.4,14.3
Ausztria,2019,81.2,72.4,88.4,1.7,292.6,4176.2,58076.348801448,220393.1,82.7,162.2,13.3
Ausztria,2020,79,70.6,88.2,1.7,283.7,4253.5,55683.8408238588,195103.6,83.1,157.9,13.9
Belgium,2012,72.7,61.7,70.7,1.8,400.1,4488.8,42290.7620520019,310501.8,72.6,182.4,15.3
Belgium,2013,72.3,62.1,71.7,1.8,429.6,4735,43671.11959259,311649.5,73.8,185.3,15.1
Belgium,2014,71.6,62.9,72.4,1.8,402.4,4793,44929.685593416,321600.7,74.7,191.1,15.5
Belgium,2015,71.3,63,73.6,1.8,420.3,4013.4,46200.904454307,324215.7,75.8,198.7,14.9
Belgium,2016,72.3,63,74.3,1.8,420.2,4071.1,48597.3999826201,341615.1,75.9,192.9,15.5
Belgium,2017,73.4,63.6,75.9,1.8,400.7,4197.9,50442.2705419624,370203.4,77.7,196.7,15.9
Belgium,2018,73.9,65.5,77.4,1.8,392.5,4509.3,52528.1185388814,381989.4,79.1,200.7,16.4
Belgium,2019,74.5,66.5,77.2,1.8,406.8,4379.6,54269.5140327442,392988.7,80.2,206.4,14.8
Belgium,2020,73.7,65.6,78.3,1.8,422.9,4352.7,53034.961003118,365577.2,81.3,209.5,14.1
Bulgaria,2012,65,59.8,81,1.4,200.2,483.5,16327.8726078533,25503.6,81,103.1,21.2
Bulgaria,2013,65.6,60.2,81.6,1.4,214.8,526,16647.0063974042,27156.7,82,109.2,21
Bulgaria,2014,67.3,61.5,80.4,1.5,224.3,554.3,17616.913178474,27795.2,81.8,111.6,21.8
Bulgaria,2015,69.6,63.3,81.2,1.5,221.7,497.8,18391.9274727456,29228.3,82.5,107.8,22
Bulgaria,2016,70.4,63.6,81.7,1.5,211,536.3,20074.3762957132,31151.6,82.8,108.2,22.9
Bulgaria,2017,74.4,66.8,82.3,1.5,220.8,597.8,21469.9454411605,35193.1,83.3,109.6,23.4
Bulgaria,2018,75.5,67.8,82,1.5,219.4,691.8,22990.1054861125,36937.3,83.2,104.3,22
Bulgaria,2019,78.3,70.2,82.1,1.5,208.5,725.4,24523.7922886874,39356.7,82.9,100.5,22.6
Bulgaria,2020,76.8,68.5,82.7,1.4,206.5,808.1,24613.8350724496,33930.3,83.6,99.4,23.8
Ciprus,2012,76.1,64.8,78.5,1.7,36.4,2557.9,31834.5182131095,10753.1,76.4,14.7,14.7
Ciprus,2013,72.6,62.2,79.1,1.7,37.5,2585.8,30375.09107743,11041.8,78,15.5,15.3
Ciprus,2014,71.6,63.9,77.5,1.7,36.5,2511.5,30080.2301574798,11508.6,77.7,17.6,14.4
Ciprus,2015,72.3,64,77.8,1.7,28.3,2088.1,31815.2740406778,12537,78.1,17.1,16.2
Ciprus,2016,73.8,64.1,78.8,1.7,28.2,2077.6,35719.1905721204,13352.6,80.2,14.8,16.1
Ciprus,2017,75.7,66.2,81,1.7,26.2,2131.5,38287.9691989983,14969.3,81.3,15.9,15.7
Ciprus,2018,79.3,68.9,81.5,1.7,28.4,2287.4,40513.6916170718,16225.4,83,17.2,15.4
Ciprus,2019,81.7,70.1,81.1,1.7,30.4,2215.4,42384.2408125411,17394.1,83.8,17.8,14.7
Ciprus,2020,81.1,69.1,82.1,1.7,31.7,2286.1,39452.8673523841,16382.2,84.1,17.4,14.3
Csehorszag,2012,80.2,62.5,94.8,1.6,589.9,1354.7,29254.7312685144,122991.2,90,252.3,9.6
Csehorszag,2013,81,63.8,94.8,1.6,556.5,1355.9,30818.1081558477,121283.9,90.8,244.3,8.6
Csehorszag,2014,82.2,64.7,95.2,1.6,587.3,1316.4,32502.4753540118,129341.3,91.2,243.8,9.7
Csehorszag,2015,83,66.4,95,1.6,559.3,1143.8,33899.2865661657,136594,91.3,245.3,9.7
Csehorszag,2016,84.6,68.6,95,1.6,546.9,1197.1,36097.7052556977,140366.4,91.8,263.3,9.7
Csehorszag,2017,86.3,70.5,95.2,1.6,561.1,1346,38824.8879170919,153417.7,92.4,260.3,9.1
Csehorszag,2018,87.4,72.2,95.1,1.6,567.8,1564,41135.4929835656,162328.3,92.6,254.6,9.6
Csehorszag,2019,87.7,72.7,94.8,1.6,556.6,1572,42847.0047376207,166682.7,92.7,253.8,10.1
Csehorszag,2020,87.2,71.9,94.8,1.6,550.6,1572.4,41603.9885681455,152808.9,93.3,251,9.5
Dania,2012,77.5,71.1,77.2,1.7,153.2,5726.5,44803.9682421214,139077.2,77.9,58.5,12
Dania,2013,77.5,71.2,77.3,1.8,147.5,5992.9,46726.8541437832,141865.6,78.4,60,11.9
Dania,2014,78.4,71,77.7,1.8,145.9,6142.4,47901.4473627066,145138.2,80.2,59.1,12.1
Dania,2015,79.3,71.5,78.4,1.7,147.3,5242.3,49045.3391904109,151301.4,81.1,60.3,12.2
Dania,2016,79.4,72.5,78.8,1.7,144.4,5251.9,51976.0057060956,151254.1,81.7,61.9,11.9
Dania,2017,79.9,73.2,79.1,1.7,140.1,5440.6,55356.680780178,162372.6,82.8,58.3,12.4
Dania,2018,80.9,73.9,78.8,1.7,138.8,5776,57482.9623999067,170996.5,83.3,56.5,12.7
Dania,2019,81.9,74.7,79.7,1.7,143.1,5530,58700.9746656312,183178.5,83.5,61.1,12.5
Dania,2020,81.3,74.3,79.6,1.7,143.6,5701.1,60229.9147703017,171513.9,83.5,62.7,12.1
Esztorszag,2012,75.2,71.1,87.3,1.6,36.4,1139.7,25996.0467779508,15445.6,92.5,13.6,17.5
Esztorszag,2013,76.8,71.6,87.7,1.6,36.7,1260,27464.5186781161,15992.5,93.4,15.9,18.6
Esztorszag,2014,78.4,71.9,84,1.6,37.4,1333.4,28945.4653303277,16412.6,92.2,15.5,21.8
Esztorszag,2015,80,73.7,84.3,1.6,37.1,1181.2,29175.9259267894,15976,91,18.8,21.6
Esztorszag,2016,80.5,73.7,84.8,1.6,37.6,1267.6,31312.7522996878,16747.5,92.2,19.3,21.7
Esztorszag,2017,81.7,76.8,84.2,1.6,41.8,1376.1,33821.93290847,18068.2,91.8,18.2,21
Esztorszag,2018,82.8,76.8,84.3,1.7,44.7,1546.3,36249.3581462877,19226.2,91.7,18.8,21.9
Esztorszag,2019,83.5,77.5,85.7,1.7,46.7,1575.1,37850.0741478592,20534.8,92.2,19.8,21.7
Esztorszag,2020,81.3,76.9,85.7,1.7,46,1650.2,37600.5920478364,19099.7,92.9,18.1,20.7
Finnorszag,2012,74.6,71.3,82.3,2,203.8,4147.9,40873.0953326066,78019,87.4,95,13.2
Finnorszag,2013,73.9,71,83.5,2.1,199.3,4347.5,41493.1416470359,77678,88.4,93,11.8
Finnorszag,2014,73.2,71.2,83.9,2,200.4,4399.8,41757.4021894413,75479,89.2,98.5,12.8
Finnorszag,2015,72.8,70.7,85.2,2,200.6,3724.3,42497.7049785783,74845,90.2,98.3,12.4
Finnorszag,2016,74,70.8,85.7,2,199.9,3754.6,44934.4482077785,75719,90.5,94.1,11.6
Finnorszag,2017,75.1,71.3,85.6,2,184.4,3843.6,47570.133583848,84975,91.2,93.8,11.5
